"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"TSPAN11",0.675386243593587,6.30041496462906,10.7536429021791,1.06068039323183e-21,1.43128528883716e-20,38.5076507362989,"up"
"FOCAD",0.510320911611081,7.20510192568773,10.7523962155762,1.06990973519392e-21,1.44158776689839e-20,38.4990654401357,"up"
"DMAC2",-0.450085665644351,7.367277148892,-10.7484914479725,1.09933811539769e-21,1.47903510436168e-20,38.4721770831291,"down"
"PDE5A",0.886343775625896,7.8232480617841,10.7366281549726,1.21936627256722e-21,1.63808179350375e-20,38.3701419701501,"up"
"IKZF2",0.551162328707986,5.34860557384052,10.7300492036387,1.24960424687737e-21,1.67621246231725e-20,38.3452199757975,"up"
"SMAD7",-0.618818542599572,6.44297222781006,-10.7265842043078,1.28004055538326e-21,1.71449580166223e-20,38.3213735873027,"down"
"ATP2A2",0.589113488645182,9.4661630693519,10.7250800718849,1.29348161084662e-21,1.72993598279058e-20,38.3110227050736,"up"
"CAMTA1",-0.436235512283471,5.44270296023727,-10.7160423877774,1.37725615398827e-21,1.83925744286676e-20,38.2488372826802,"down"
"SLC12A9",-0.491972682513214,6.14661929796752,-10.7120933752594,1.41553826372949e-21,1.88759313309415e-20,38.2216700095102,"down"
"TUFT1",-0.518341717120224,6.00378054734621,-10.7070965845349,1.4655007001476e-21,1.95133900295058e-20,38.187298573405,"down"
"DOCK10",0.703734731208529,7.58049115062924,10.7046132665415,1.49098089892319e-21,1.98234680987714e-20,38.1702182486043,"up"
"HMGN3",0.52424890130776,7.40642590974414,10.6876618544631,1.67710476592245e-21,2.22653512315783e-20,38.0536558977009,"up"
"RHBDL2",0.613816370618444,4.38502175089826,10.6871126386687,1.68350748618118e-21,2.23175823791262e-20,38.0498802203823,"up"
"GYPC",-0.739665522406256,6.389913625599,-10.6844994808835,1.71430669711742e-21,2.2692601535342e-20,38.0319163767253,"down"
"DUOXA2",-0.394565865777555,4.61542020972728,-10.6823503745951,1.74005673546931e-21,2.29997850078626e-20,38.0171435341173,"down"
"TRMT1L",0.532709481063319,7.11859118739081,10.6670897912933,1.93433078304121e-21,2.55303424955848e-20,37.9122674003377,"up"
"DYSF",-0.624009747648405,6.30715296775664,-10.6583939205585,2.05454710036778e-21,2.70774931988704e-20,37.852525416822,"down"
"DNAAF10",0.496849700053184,6.13416557123249,10.6564800429884,2.081989164466e-21,2.73992198485256e-20,37.8393786501204,"up"
"CHDH",-0.445534619497806,5.29914326323038,-10.6561085136927,2.08735849780973e-21,2.74299537481072e-20,37.8368266273483,"down"
"TRANK1",0.602766034366645,7.17801025086041,10.6491774263905,2.19009429331962e-21,2.8738232954866e-20,37.7892218838502,"up"
"CRIP1",0.759124959519621,7.19100571668928,10.6446957552924,2.2591898646576e-21,2.96019356034339e-20,37.7584451784477,"up"
"TBCK",0.462464424286044,7.61397298911387,10.6414049769715,2.31130386931809e-21,3.02409526519608e-20,37.7358489867128,"up"
"TPPP3",1.13319801828067,7.39180660927496,10.6498093727125,2.4080747341426e-21,3.1416166913973e-20,37.6982927528267,"up"
"ATF7IP",0.462153642854645,7.94214815211553,10.6335397050979,2.44076456513579e-21,3.17967614314016e-20,37.6818500897408,"up"
"TPST2",-0.487560188369985,7.21959459773089,-10.6329380418406,2.45096024827558e-21,3.18836425966324e-20,37.6777198537217,"down"
"KIF1C",-0.421887321673646,7.67306561220136,-10.6300988902053,2.49964749399416e-21,3.24702772890821e-20,37.6582308467085,"down"
"SNORD4A",-0.689735513438968,4.50748084014706,-10.6166721847194,2.74327156138022e-21,3.55838137538574e-20,37.566085242714,"down"
"LCA5",0.701468847028195,5.89826535644925,10.6075799235141,2.92154110270104e-21,3.78419098990259e-20,37.5037054745379,"up"
"ABCD2",0.827196605093465,4.92738382625552,10.6080108174162,2.92842832770347e-21,3.78768533773491e-20,37.5015394076606,"up"
"SFTA2",-1.06016332577123,7.33867641311856,-10.613306973674,3.04027117351563e-21,3.92672738282212e-20,37.4667210516317,"down"
"ADM",-1.09216353067554,7.45589550620124,-10.6109142760578,3.11610524866565e-21,4.0183523274415e-20,37.4425646357283,"down"
"IGHA1",1.23600806583217,10.611501210436,10.6155021515127,3.12010102186034e-21,4.0183523274415e-20,37.4423260519127,"up"
"ATG16L2",-0.454447834819958,6.17644095455653,-10.5930396664197,3.23091450811778e-21,4.1499705689748e-20,37.4039806313821,"down"
"CLIC6",1.2691574744167,7.36297230392374,10.6111727136184,3.23147802296013e-21,4.1499705689748e-20,37.4077379009502,"up"
"ACSS2",-0.640900892787941,7.52887865914701,-10.5917516280694,3.25984528359393e-21,4.18046258283301e-20,37.3951484982853,"down"
"MRPS15",-0.484350484883401,7.90059304964313,-10.5891865514259,3.31823070653544e-21,4.24930932263271e-20,37.3775605934623,"down"
"ADAMTS15",-0.661819497250348,5.60503745191767,-10.5861517458619,3.3886546547332e-21,4.33335597361285e-20,37.3567535151479,"down"
"PRTFDC1",0.580079710209962,5.06298139744392,10.5802091490162,3.53089609424584e-21,4.50887451808992e-20,37.316015237529,"up"
"ROBO4",-0.867407975835329,6.73284575464917,-10.5772889031571,3.66851187495718e-21,4.67799941628884e-20,37.2787013471451,"down"
"SERPINF1",0.763048489420723,8.47024949252411,10.5679580773837,3.84318069194201e-21,4.89383051209123e-20,37.232051633731,"up"
"ANXA4",0.439423883938611,8.94840956132959,10.5672382073624,3.86236342454925e-21,4.91134004519688e-20,37.2271188407946,"up"
"SORT1",-0.506688472469939,9.1403298386232,-10.5667566954053,3.87524771826217e-21,4.92080261528206e-20,37.2238194130745,"down"
"PCNX2",0.416750553175597,5.63920573569607,10.5663896763406,3.88509715872302e-21,4.92639038036674e-20,37.2213045459615,"up"
"MMP1",2.6034803754199,6.04452985720123,10.5864888067139,4.11349169521994e-21,5.20869445609012e-20,37.1708718991134,"up"
"GALNT17",-0.634050843908852,5.61788076133013,-10.5544692409894,4.21892139550001e-21,5.33472284429589e-20,37.1396379984058,"down"
"TDO2",1.60761785460677,4.90974671490908,10.5791007494717,4.2295049853907e-21,5.34063611353594e-20,37.142591225579,"up"
"GLT8D2",0.766085260637465,6.46476368827021,10.5488584954133,4.38578897899977e-21,5.53025357868019e-20,37.1012083561556,"up"
"CEBPD",-0.726906605892004,7.53689463201021,-10.5443407622946,4.52491489886659e-21,5.69773754883744e-20,37.0702694652933,"down"
"KIAA0753",0.479695105765035,6.45513796449639,10.5419178310387,4.60133252762323e-21,5.78590366929647e-20,37.0536780672693,"up"
"CCL13",0.881943773306935,5.8699325121446,10.5439946282335,4.63902034370155e-21,5.82519207325079e-20,37.0463079884806,"up"
"TMEM131",0.383064276062811,7.37961315867647,10.5307731281288,4.96971999339254e-21,6.2317945159864e-20,36.9773775387371,"up"
"VPS13C",0.584041322579084,8.7441775675347,10.5255969338436,5.15066947545706e-21,6.44467734789634e-20,36.9419476552352,"up"
"SPATS2",0.580818217492949,6.62065732150193,10.5255105034675,5.15374596010292e-21,6.44467734789634e-20,36.941356102756,"up"
"ARRB2",-0.576106783365249,7.64185172432778,-10.5192992758452,5.37969427664084e-21,6.71793038054003e-20,36.8988485955532,"down"
"THOC6",-0.476618403215503,6.68645267613967,-10.513079597676,5.61583576638783e-21,7.00314085019481e-20,36.8562907511785,"down"
"CADPS",0.423670341922741,4.19816425972482,10.4977475701909,6.24297392385525e-21,7.7744803368561e-20,36.7514142416322,"up"
"FHOD1",-0.548950615126224,6.30090479831647,-10.490386407657,6.56839222105447e-21,8.16847786390007e-20,36.7010775819132,"down"
