"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C11orf52",-0.0682571912135126,6.03703052244486,-1.2513089845352,0.212238580440412,0.250078066696438,-6.63541308784148
"SPANXA2-OT1",0.0656346153375127,6.68279158908627,1.25086650503726,0.212399669244451,0.250235263179448,-6.63596319205441
"STXBP4",0.070060746417365,6.3488521003248,1.25020841467899,0.212639417717375,0.250485078251829,-6.63678099593616
"PLEKHH2",0.117670198812601,7.79693558075358,1.2495633176273,0.212884955768476,0.250741647355757,-6.63757626686165
"CCL3L3",0.100321731338987,6.93921765037637,1.24891466391364,0.213113310655763,0.250966174175483,-6.6383863380739
"GMFB",0.0588556663218682,6.79893746557691,1.24886046967579,0.213131101130335,0.250966174175483,-6.6384547536633
"NIPAL1",-0.0522140436831293,5.09283654770643,-1.24677171590479,0.213894637975831,0.251832454999282,-6.64104486847097
"NOLC1",0.069943812109643,7.25603174753937,1.2463033544664,0.214066118385058,0.25200153337491,-6.64162506398286
"CCDC33",0.0651763025731205,5.07125477153392,1.2460709608141,0.214151241359411,0.25206891981909,-6.64191286825584
"PDPR",-0.0738322973611307,7.4830785480744,-1.24576261563334,0.214264222412062,0.252169075088187,-6.64229465190101
"LINC00937",-0.0715046552394272,7.32985947211201,-1.24460833677906,0.214687547246972,0.252634402532848,-6.64372301861872
"ZNF677",-0.0609911336052749,4.09781454842937,-1.24446560119308,0.214739936829356,0.252663166173115,-6.64389955669344
"ICOS",0.0994689328048848,4.30230133348415,1.24420813551352,0.21483644899236,0.252743830232912,-6.64421676631919
"TSPAN33",-0.0594754620451132,5.72563967934524,-1.24412090870965,0.214866490822843,0.252746284612194,-6.64432579664451
"ARL4A",0.0518578496788198,5.644208485127,1.24077351354397,0.216098305463809,0.254162193274138,-6.64845907013182
"OR2L2",-0.0720984087253163,4.01143647490798,-1.24048550547265,0.216204528928944,0.254254051254758,-6.64881418221241
"DEPTOR",0.100095103486373,6.76655585523832,1.23974535349914,0.216479892867173,0.25454476673327,-6.6497250789148
"MIRLET7I",-0.0595286492364551,6.23522090872034,-1.23956633879221,0.216543790271869,0.254586789056952,-6.64994696556155
"PTCH1",0.0930263034224614,6.71650293704773,1.23625939599132,0.217767563496383,0.255992269089949,-6.65401560826559
"LINC01558",0.0481170454949948,4.47832746189036,1.23571016130606,0.21797129830876,0.256198453979394,-6.65469031318667
"LOC100130691",0.0571728337655371,5.15768272858207,1.23467163707746,0.218356908809341,0.256618329981185,-6.65596527632486
"CHRNA5",0.0654662514877424,4.35923845254556,1.2338829328616,0.218650089291676,0.256929484960494,-6.65693283774234
"CHD7",-0.0564341863292173,6.53728944617758,-1.23221147415414,0.219272352257854,0.257627204257733,-6.65898132544225
"METTL2B",-0.0541791519217361,5.70671802266381,-1.23040951501892,0.219944632410313,0.258383500730462,-6.66118668547045
"PSAT1",0.130641262681821,5.75511732177953,1.22950842338995,0.220297191003005,0.25876405143019,-6.66227833647893
"TTC1",0.0612637868615735,5.90850005180647,1.22871019366426,0.220579983884518,0.259062566160033,-6.66326351668971
"PLS3",0.0663387774881841,9.35609072906879,1.22857926014145,0.220628992974733,0.259086469084889,-6.66342342016633
"HRK",0.0660167387176296,6.17052599668853,1.22573424620436,0.221695839176477,0.260251711311175,-6.66689376659569
"CUL2",0.0557493201518602,6.72929601855404,1.22570923964536,0.221705232813194,0.260251711311175,-6.66692423443111
"ZNF609",-0.0517556708446119,6.91646974654506,-1.22570285895895,0.22170762974435,0.260251711311175,-6.66693200852155
"CCNE1",0.0562147588061412,4.6016654958808,1.22480431171108,0.222045359490558,0.260614318467368,-6.668026380797
"SAT1",0.0598432813354162,10.8974133063561,1.22415355964167,0.222290184079855,0.260867802994025,-6.66881846077943
"HBD",-0.0871420579975846,4.96284931698518,-1.22162950599942,0.223241620346164,0.261950355554791,-6.67188675374125
"ZNF350",0.0714774171985413,5.84804777659373,1.22068143868089,0.22359974928725,0.262336534298732,-6.67303763188417
